image name [15278], angle_normal : tensor([[2.0114]], device='cuda:0'), angle_fog : tensor([[2.8662]], device='cuda:0'), diff: 0.8548
image name [29794], angle_normal : tensor([[0.4319]], device='cuda:0'), angle_fog : tensor([[2.8563]], device='cuda:0'), diff: 2.4243
image name [41921], angle_normal : tensor([[-1.3718]], device='cuda:0'), angle_fog : tensor([[2.8108]], device='cuda:0'), diff: 4.1826
image name [30657], angle_normal : tensor([[2.8357]], device='cuda:0'), angle_fog : tensor([[1.1011]], device='cuda:0'), diff: 1.7345
image name [377], angle_normal : tensor([[-0.1876]], device='cuda:0'), angle_fog : tensor([[-1.1048]], device='cuda:0'), diff: 0.9172
image name [32882], angle_normal : tensor([[-0.0865]], device='cuda:0'), angle_fog : tensor([[2.8280]], device='cuda:0'), diff: 2.9145
image name [25862], angle_normal : tensor([[-0.1573]], device='cuda:0'), angle_fog : tensor([[1.1576]], device='cuda:0'), diff: 1.3149
image name [3649], angle_normal : tensor([[1.0746]], device='cuda:0'), angle_fog : tensor([[2.9804]], device='cuda:0'), diff: 1.9058
image name [17643], angle_normal : tensor([[1.8038]], device='cuda:0'), angle_fog : tensor([[0.5837]], device='cuda:0'), diff: 1.2200
image name [33292], angle_normal : tensor([[0.1890]], device='cuda:0'), angle_fog : tensor([[2.9635]], device='cuda:0'), diff: 2.7745
image name [3069], angle_normal : tensor([[2.3030]], device='cuda:0'), angle_fog : tensor([[3.0238]], device='cuda:0'), diff: 0.7207
image name [926], angle_normal : tensor([[2.6809]], device='cuda:0'), angle_fog : tensor([[0.5682]], device='cuda:0'), diff: 2.1127
image name [40939], angle_normal : tensor([[-0.2239]], device='cuda:0'), angle_fog : tensor([[1.8898]], device='cuda:0'), diff: 2.1137
image name [20115], angle_normal : tensor([[0.0127]], device='cuda:0'), angle_fog : tensor([[0.7526]], device='cuda:0'), diff: 0.7399
image name [11454], angle_normal : tensor([[2.2051]], device='cuda:0'), angle_fog : tensor([[2.8726]], device='cuda:0'), diff: 0.6675
image name [19317], angle_normal : tensor([[2.4584]], device='cuda:0'), angle_fog : tensor([[-0.0019]], device='cuda:0'), diff: 2.4603
image name [4723], angle_normal : tensor([[1.8857]], device='cuda:0'), angle_fog : tensor([[0.0426]], device='cuda:0'), diff: 1.8431
image name [20612], angle_normal : tensor([[1.0677]], device='cuda:0'), angle_fog : tensor([[2.8807]], device='cuda:0'), diff: 1.8130
image name [28508], angle_normal : tensor([[0.7749]], device='cuda:0'), angle_fog : tensor([[0.2165]], device='cuda:0'), diff: 0.5585
image name [34556], angle_normal : tensor([[1.2273]], device='cuda:0'), angle_fog : tensor([[0.0992]], device='cuda:0'), diff: 1.1281
image name [21563], angle_normal : tensor([[1.1295]], device='cuda:0'), angle_fog : tensor([[2.9257]], device='cuda:0'), diff: 1.7962
image name [41165], angle_normal : tensor([[2.2685]], device='cuda:0'), angle_fog : tensor([[1.7543]], device='cuda:0'), diff: 0.5142
image name [3960], angle_normal : tensor([[0.0722]], device='cuda:0'), angle_fog : tensor([[2.6294]], device='cuda:0'), diff: 2.5572
image name [26045], angle_normal : tensor([[2.1702]], device='cuda:0'), angle_fog : tensor([[1.6252]], device='cuda:0'), diff: 0.5450
image name [29642], angle_normal : tensor([[0.0734]], device='cuda:0'), angle_fog : tensor([[2.6313]], device='cuda:0'), diff: 2.5579
image name [16736], angle_normal : tensor([[1.4337]], device='cuda:0'), angle_fog : tensor([[0.7764]], device='cuda:0'), diff: 0.6573
image name [33249], angle_normal : tensor([[-0.3263]], device='cuda:0'), angle_fog : tensor([[2.9702]], device='cuda:0'), diff: 3.2966
image name [21455], angle_normal : tensor([[0.7191]], device='cuda:0'), angle_fog : tensor([[2.1516]], device='cuda:0'), diff: 1.4325
image name [25181], angle_normal : tensor([[1.3083]], device='cuda:0'), angle_fog : tensor([[-0.2971]], device='cuda:0'), diff: 1.6054
image name [42320], angle_normal : tensor([[0.0218]], device='cuda:0'), angle_fog : tensor([[-0.5069]], device='cuda:0'), diff: 0.5288
image name [26401], angle_normal : tensor([[2.4763]], device='cuda:0'), angle_fog : tensor([[0.1529]], device='cuda:0'), diff: 2.3233
image name [41013], angle_normal : tensor([[-0.1320]], device='cuda:0'), angle_fog : tensor([[2.8721]], device='cuda:0'), diff: 3.0040
image name [16163], angle_normal : tensor([[2.0282]], device='cuda:0'), angle_fog : tensor([[2.7630]], device='cuda:0'), diff: 0.7348
image name [18431], angle_normal : tensor([[1.1614]], device='cuda:0'), angle_fog : tensor([[0.0574]], device='cuda:0'), diff: 1.1040
image name [18389], angle_normal : tensor([[0.3260]], device='cuda:0'), angle_fog : tensor([[-0.3169]], device='cuda:0'), diff: 0.6430
image name [24696], angle_normal : tensor([[1.3371]], device='cuda:0'), angle_fog : tensor([[2.3707]], device='cuda:0'), diff: 1.0336
image name [18615], angle_normal : tensor([[1.8563]], device='cuda:0'), angle_fog : tensor([[0.5674]], device='cuda:0'), diff: 1.2889
image name [13430], angle_normal : tensor([[0.5259]], device='cuda:0'), angle_fog : tensor([[-0.1909]], device='cuda:0'), diff: 0.7168
image name [17351], angle_normal : tensor([[0.8580]], device='cuda:0'), angle_fog : tensor([[0.2400]], device='cuda:0'), diff: 0.6180
image name [26164], angle_normal : tensor([[1.0694]], device='cuda:0'), angle_fog : tensor([[-0.3328]], device='cuda:0'), diff: 1.4021
image name [24555], angle_normal : tensor([[-0.6411]], device='cuda:0'), angle_fog : tensor([[2.2688]], device='cuda:0'), diff: 2.9099
image name [885], angle_normal : tensor([[2.0450]], device='cuda:0'), angle_fog : tensor([[-0.6855]], device='cuda:0'), diff: 2.7305
image name [34059], angle_normal : tensor([[0.0407]], device='cuda:0'), angle_fog : tensor([[2.7369]], device='cuda:0'), diff: 2.6962
image name [42397], angle_normal : tensor([[2.8220]], device='cuda:0'), angle_fog : tensor([[0.0956]], device='cuda:0'), diff: 2.7264
image name [41598], angle_normal : tensor([[-0.1085]], device='cuda:0'), angle_fog : tensor([[2.6958]], device='cuda:0'), diff: 2.8043
image name [494], angle_normal : tensor([[2.2555]], device='cuda:0'), angle_fog : tensor([[2.9693]], device='cuda:0'), diff: 0.7138
image name [2354], angle_normal : tensor([[0.5337]], device='cuda:0'), angle_fog : tensor([[0.0081]], device='cuda:0'), diff: 0.5255
image name [25170], angle_normal : tensor([[0.9446]], device='cuda:0'), angle_fog : tensor([[0.4251]], device='cuda:0'), diff: 0.5194
image name [17849], angle_normal : tensor([[1.0371]], device='cuda:0'), angle_fog : tensor([[0.3012]], device='cuda:0'), diff: 0.7359
image name [34567], angle_normal : tensor([[2.2627]], device='cuda:0'), angle_fog : tensor([[2.8980]], device='cuda:0'), diff: 0.6353
image name [1287], angle_normal : tensor([[-0.1681]], device='cuda:0'), angle_fog : tensor([[2.8647]], device='cuda:0'), diff: 3.0328
image name [40841], angle_normal : tensor([[-1.4387]], device='cuda:0'), angle_fog : tensor([[2.9359]], device='cuda:0'), diff: 4.3745
image name [42948], angle_normal : tensor([[0.4610]], device='cuda:0'), angle_fog : tensor([[-0.0408]], device='cuda:0'), diff: 0.5018
image name [33832], angle_normal : tensor([[2.0975]], device='cuda:0'), angle_fog : tensor([[3.0184]], device='cuda:0'), diff: 0.9209
image name [15289], angle_normal : tensor([[2.0575]], device='cuda:0'), angle_fog : tensor([[2.9834]], device='cuda:0'), diff: 0.9260
image name [3353], angle_normal : tensor([[1.0429]], device='cuda:0'), angle_fog : tensor([[2.9758]], device='cuda:0'), diff: 1.9329
image name [19360], angle_normal : tensor([[1.5360]], device='cuda:0'), angle_fog : tensor([[-0.2181]], device='cuda:0'), diff: 1.7541
image name [481], angle_normal : tensor([[-0.2078]], device='cuda:0'), angle_fog : tensor([[-0.7754]], device='cuda:0'), diff: 0.5676
image name [14479], angle_normal : tensor([[0.8445]], device='cuda:0'), angle_fog : tensor([[1.5737]], device='cuda:0'), diff: 0.7293
image name [32471], angle_normal : tensor([[1.3529]], device='cuda:0'), angle_fog : tensor([[0.0137]], device='cuda:0'), diff: 1.3392
image name [40669], angle_normal : tensor([[-0.6025]], device='cuda:0'), angle_fog : tensor([[2.8014]], device='cuda:0'), diff: 3.4039
image name [4886], angle_normal : tensor([[0.8795]], device='cuda:0'), angle_fog : tensor([[2.8875]], device='cuda:0'), diff: 2.0080
image name [35971], angle_normal : tensor([[-0.8638]], device='cuda:0'), angle_fog : tensor([[2.1315]], device='cuda:0'), diff: 2.9953
image name [6138], angle_normal : tensor([[2.5390]], device='cuda:0'), angle_fog : tensor([[1.1898]], device='cuda:0'), diff: 1.3492
image name [12350], angle_normal : tensor([[2.1567]], device='cuda:0'), angle_fog : tensor([[2.7007]], device='cuda:0'), diff: 0.5440
image name [20775], angle_normal : tensor([[2.2673]], device='cuda:0'), angle_fog : tensor([[0.2560]], device='cuda:0'), diff: 2.0113
image name [39081], angle_normal : tensor([[0.8675]], device='cuda:0'), angle_fog : tensor([[-0.3220]], device='cuda:0'), diff: 1.1896
image name [21574], angle_normal : tensor([[0.1215]], device='cuda:0'), angle_fog : tensor([[2.7835]], device='cuda:0'), diff: 2.6620
image name [26207], angle_normal : tensor([[-1.5983]], device='cuda:0'), angle_fog : tensor([[2.9867]], device='cuda:0'), diff: 4.5849
image name [26412], angle_normal : tensor([[2.5180]], device='cuda:0'), angle_fog : tensor([[0.3567]], device='cuda:0'), diff: 2.1613
image name [16336], angle_normal : tensor([[0.0853]], device='cuda:0'), angle_fog : tensor([[2.4966]], device='cuda:0'), diff: 2.4113
image name [6332], angle_normal : tensor([[0.6331]], device='cuda:0'), angle_fog : tensor([[0.0825]], device='cuda:0'), diff: 0.5506
image name [20948], angle_normal : tensor([[1.2494]], device='cuda:0'), angle_fog : tensor([[2.9740]], device='cuda:0'), diff: 1.7245
image name [26672], angle_normal : tensor([[0.0574]], device='cuda:0'), angle_fog : tensor([[1.2674]], device='cuda:0'), diff: 1.2100
image name [13830], angle_normal : tensor([[0.0312]], device='cuda:0'), angle_fog : tensor([[-0.7165]], device='cuda:0'), diff: 0.7477
image name [21196], angle_normal : tensor([[-0.8874]], device='cuda:0'), angle_fog : tensor([[2.9630]], device='cuda:0'), diff: 3.8504
image name [29697], angle_normal : tensor([[-0.3384]], device='cuda:0'), angle_fog : tensor([[2.9304]], device='cuda:0'), diff: 3.2688
image name [2947], angle_normal : tensor([[2.7567]], device='cuda:0'), angle_fog : tensor([[2.0077]], device='cuda:0'), diff: 0.7490
image name [38899], angle_normal : tensor([[0.1210]], device='cuda:0'), angle_fog : tensor([[2.8242]], device='cuda:0'), diff: 2.7032
image name [22849], angle_normal : tensor([[1.7743]], device='cuda:0'), angle_fog : tensor([[1.0944]], device='cuda:0'), diff: 0.6798
image name [18031], angle_normal : tensor([[1.2444]], device='cuda:0'), angle_fog : tensor([[-0.1251]], device='cuda:0'), diff: 1.3695
image name [37548], angle_normal : tensor([[0.8294]], device='cuda:0'), angle_fog : tensor([[-0.0991]], device='cuda:0'), diff: 0.9285
image name [26889], angle_normal : tensor([[0.2397]], device='cuda:0'), angle_fog : tensor([[-0.4227]], device='cuda:0'), diff: 0.6624
image name [40247], angle_normal : tensor([[-0.1298]], device='cuda:0'), angle_fog : tensor([[2.6145]], device='cuda:0'), diff: 2.7443
image name [33454], angle_normal : tensor([[0.2494]], device='cuda:0'), angle_fog : tensor([[2.8835]], device='cuda:0'), diff: 2.6341
image name [27655], angle_normal : tensor([[0.0809]], device='cuda:0'), angle_fog : tensor([[2.7819]], device='cuda:0'), diff: 2.7010
image name [18161], angle_normal : tensor([[2.7312]], device='cuda:0'), angle_fog : tensor([[-0.4779]], device='cuda:0'), diff: 3.2091
image name [4082], angle_normal : tensor([[1.3820]], device='cuda:0'), angle_fog : tensor([[0.5063]], device='cuda:0'), diff: 0.8757
image name [38411], angle_normal : tensor([[0.5094]], device='cuda:0'), angle_fog : tensor([[1.6010]], device='cuda:0'), diff: 1.0916
image name [15342], angle_normal : tensor([[-0.1386]], device='cuda:0'), angle_fog : tensor([[1.8689]], device='cuda:0'), diff: 2.0074
image name [10752], angle_normal : tensor([[1.7978]], device='cuda:0'), angle_fog : tensor([[2.5817]], device='cuda:0'), diff: 0.7839
image name [3528], angle_normal : tensor([[1.0512]], device='cuda:0'), angle_fog : tensor([[2.9736]], device='cuda:0'), diff: 1.9223
image name [6419], angle_normal : tensor([[2.8726]], device='cuda:0'), angle_fog : tensor([[0.1569]], device='cuda:0'), diff: 2.7158
image name [14824], angle_normal : tensor([[2.0567]], device='cuda:0'), angle_fog : tensor([[2.9571]], device='cuda:0'), diff: 0.9004
image name [37861], angle_normal : tensor([[0.3879]], device='cuda:0'), angle_fog : tensor([[-0.4003]], device='cuda:0'), diff: 0.7882
image name [25732], angle_normal : tensor([[-0.5384]], device='cuda:0'), angle_fog : tensor([[0.3570]], device='cuda:0'), diff: 0.8954
image name [42050], angle_normal : tensor([[-0.5214]], device='cuda:0'), angle_fog : tensor([[2.8734]], device='cuda:0'), diff: 3.3947
image name [5890], angle_normal : tensor([[-0.7452]], device='cuda:0'), angle_fog : tensor([[0.0493]], device='cuda:0'), diff: 0.7945
image name [6451], angle_normal : tensor([[2.5643]], device='cuda:0'), angle_fog : tensor([[0.0850]], device='cuda:0'), diff: 2.4792
image name [15483], angle_normal : tensor([[0.7118]], device='cuda:0'), angle_fog : tensor([[2.1473]], device='cuda:0'), diff: 1.4354
image name [5199], angle_normal : tensor([[0.1206]], device='cuda:0'), angle_fog : tensor([[1.9684]], device='cuda:0'), diff: 1.8478
image name [979], angle_normal : tensor([[0.8636]], device='cuda:0'), angle_fog : tensor([[2.5328]], device='cuda:0'), diff: 1.6693
image name [35041], angle_normal : tensor([[2.2347]], device='cuda:0'), angle_fog : tensor([[3.0001]], device='cuda:0'), diff: 0.7654
image name [8417], angle_normal : tensor([[-0.1839]], device='cuda:0'), angle_fog : tensor([[2.7338]], device='cuda:0'), diff: 2.9177
image name [20667], angle_normal : tensor([[1.7241]], device='cuda:0'), angle_fog : tensor([[-0.0069]], device='cuda:0'), diff: 1.7311
image name [39319], angle_normal : tensor([[1.1175]], device='cuda:0'), angle_fog : tensor([[2.7500]], device='cuda:0'), diff: 1.6325
image name [10785], angle_normal : tensor([[0.4260]], device='cuda:0'), angle_fog : tensor([[2.3214]], device='cuda:0'), diff: 1.8954
image name [33281], angle_normal : tensor([[0.2960]], device='cuda:0'), angle_fog : tensor([[2.9728]], device='cuda:0'), diff: 2.6768
image name [13236], angle_normal : tensor([[0.1225]], device='cuda:0'), angle_fog : tensor([[2.7873]], device='cuda:0'), diff: 2.6648
image name [18237], angle_normal : tensor([[1.3410]], device='cuda:0'), angle_fog : tensor([[0.0312]], device='cuda:0'), diff: 1.3098
image name [32158], angle_normal : tensor([[0.0169]], device='cuda:0'), angle_fog : tensor([[-0.5164]], device='cuda:0'), diff: 0.5333
image name [16152], angle_normal : tensor([[0.1156]], device='cuda:0'), angle_fog : tensor([[2.8776]], device='cuda:0'), diff: 2.7619
image name [33021], angle_normal : tensor([[-0.1199]], device='cuda:0'), angle_fog : tensor([[2.8596]], device='cuda:0'), diff: 2.9796
image name [5847], angle_normal : tensor([[-0.7091]], device='cuda:0'), angle_fog : tensor([[1.6931]], device='cuda:0'), diff: 2.4022
image name [29783], angle_normal : tensor([[0.2412]], device='cuda:0'), angle_fog : tensor([[2.6741]], device='cuda:0'), diff: 2.4328
image name [18356], angle_normal : tensor([[0.0812]], device='cuda:0'), angle_fog : tensor([[-0.6096]], device='cuda:0'), diff: 0.6909
image name [31337], angle_normal : tensor([[2.9088]], device='cuda:0'), angle_fog : tensor([[-0.0927]], device='cuda:0'), diff: 3.0014
image name [2259], angle_normal : tensor([[0.6052]], device='cuda:0'), angle_fog : tensor([[-0.1944]], device='cuda:0'), diff: 0.7997
image name [13852], angle_normal : tensor([[0.5458]], device='cuda:0'), angle_fog : tensor([[-0.0512]], device='cuda:0'), diff: 0.5970
image name [18150], angle_normal : tensor([[2.4327]], device='cuda:0'), angle_fog : tensor([[-0.1455]], device='cuda:0'), diff: 2.5782
image name [45097], angle_normal : tensor([[1.0384]], device='cuda:0'), angle_fog : tensor([[0.5333]], device='cuda:0'), diff: 0.5051
image name [26283], angle_normal : tensor([[2.0609]], device='cuda:0'), angle_fog : tensor([[0.5285]], device='cuda:0'), diff: 1.5325
image name [10082], angle_normal : tensor([[0.2004]], device='cuda:0'), angle_fog : tensor([[2.4007]], device='cuda:0'), diff: 2.2002
image name [28692], angle_normal : tensor([[2.4353]], device='cuda:0'), angle_fog : tensor([[0.4093]], device='cuda:0'), diff: 2.0260
image name [18972], angle_normal : tensor([[0.3734]], device='cuda:0'), angle_fog : tensor([[2.9256]], device='cuda:0'), diff: 2.5522
image name [34004], angle_normal : tensor([[0.0697]], device='cuda:0'), angle_fog : tensor([[0.9956]], device='cuda:0'), diff: 0.9259
image name [4244], angle_normal : tensor([[-1.0395]], device='cuda:0'), angle_fog : tensor([[-0.0077]], device='cuda:0'), diff: 1.0318
image name [40269], angle_normal : tensor([[-0.1322]], device='cuda:0'), angle_fog : tensor([[-0.6568]], device='cuda:0'), diff: 0.5246
image name [3393], angle_normal : tensor([[1.0911]], device='cuda:0'), angle_fog : tensor([[2.9873]], device='cuda:0'), diff: 1.8962
image name [27071], angle_normal : tensor([[0.8041]], device='cuda:0'), angle_fog : tensor([[0.0595]], device='cuda:0'), diff: 0.7446
image name [28605], angle_normal : tensor([[0.7812]], device='cuda:0'), angle_fog : tensor([[0.2653]], device='cuda:0'), diff: 0.5158
image name [30754], angle_normal : tensor([[0.3510]], device='cuda:0'), angle_fog : tensor([[2.9877]], device='cuda:0'), diff: 2.6366
image name [3731], angle_normal : tensor([[1.3346]], device='cuda:0'), angle_fog : tensor([[2.8949]], device='cuda:0'), diff: 1.5603
image name [29729], angle_normal : tensor([[-0.0338]], device='cuda:0'), angle_fog : tensor([[3.0410]], device='cuda:0'), diff: 3.0748
image name [32060], angle_normal : tensor([[-0.1220]], device='cuda:0'), angle_fog : tensor([[2.7592]], device='cuda:0'), diff: 2.8812
image name [38400], angle_normal : tensor([[0.3237]], device='cuda:0'), angle_fog : tensor([[1.0449]], device='cuda:0'), diff: 0.7212
image name [21099], angle_normal : tensor([[0.3132]], device='cuda:0'), angle_fog : tensor([[2.8968]], device='cuda:0'), diff: 2.5836
image name [43877], angle_normal : tensor([[0.8687]], device='cuda:0'), angle_fog : tensor([[-0.1091]], device='cuda:0'), diff: 0.9778
image name [19599], angle_normal : tensor([[2.7930]], device='cuda:0'), angle_fog : tensor([[-0.0222]], device='cuda:0'), diff: 2.8152
image name [14738], angle_normal : tensor([[2.3725]], device='cuda:0'), angle_fog : tensor([[2.9706]], device='cuda:0'), diff: 0.5982
image name [10244], angle_normal : tensor([[0.1407]], device='cuda:0'), angle_fog : tensor([[2.3363]], device='cuda:0'), diff: 2.1956
image name [41576], angle_normal : tensor([[-0.1635]], device='cuda:0'), angle_fog : tensor([[2.9030]], device='cuda:0'), diff: 3.0666
image name [42353], angle_normal : tensor([[2.7514]], device='cuda:0'), angle_fog : tensor([[1.0096]], device='cuda:0'), diff: 1.7418
image name [15872], angle_normal : tensor([[0.7954]], device='cuda:0'), angle_fog : tensor([[0.1711]], device='cuda:0'), diff: 0.6242
image name [30581], angle_normal : tensor([[-0.2007]], device='cuda:0'), angle_fog : tensor([[2.9409]], device='cuda:0'), diff: 3.1417
image name [13874], angle_normal : tensor([[0.5308]], device='cuda:0'), angle_fog : tensor([[-0.2590]], device='cuda:0'), diff: 0.7898
image name [21303], angle_normal : tensor([[1.1101]], device='cuda:0'), angle_fog : tensor([[2.7776]], device='cuda:0'), diff: 1.6675
image name [15504], angle_normal : tensor([[1.2550]], device='cuda:0'), angle_fog : tensor([[1.9897]], device='cuda:0'), diff: 0.7347
image name [43909], angle_normal : tensor([[1.2721]], device='cuda:0'), angle_fog : tensor([[0.0631]], device='cuda:0'), diff: 1.2091
image name [33216], angle_normal : tensor([[2.5433]], device='cuda:0'), angle_fog : tensor([[0.0427]], device='cuda:0'), diff: 2.5006
image name [11087], angle_normal : tensor([[0.4881]], device='cuda:0'), angle_fog : tensor([[2.6957]], device='cuda:0'), diff: 2.2077
image name [38725], angle_normal : tensor([[0.0625]], device='cuda:0'), angle_fog : tensor([[2.7577]], device='cuda:0'), diff: 2.6952
image name [41057], angle_normal : tensor([[-0.4088]], device='cuda:0'), angle_fog : tensor([[2.8079]], device='cuda:0'), diff: 3.2167
image name [28184], angle_normal : tensor([[1.1774]], device='cuda:0'), angle_fog : tensor([[2.8689]], device='cuda:0'), diff: 1.6915
image name [23712], angle_normal : tensor([[0.7645]], device='cuda:0'), angle_fog : tensor([[1.7069]], device='cuda:0'), diff: 0.9423
image name [20601], angle_normal : tensor([[1.6819]], device='cuda:0'), angle_fog : tensor([[2.9704]], device='cuda:0'), diff: 1.2885
image name [26078], angle_normal : tensor([[2.3527]], device='cuda:0'), angle_fog : tensor([[2.9444]], device='cuda:0'), diff: 0.5917
image name [26304], angle_normal : tensor([[2.4284]], device='cuda:0'), angle_fog : tensor([[1.8306]], device='cuda:0'), diff: 0.5978
image name [14035], angle_normal : tensor([[0.5271]], device='cuda:0'), angle_fog : tensor([[-0.0173]], device='cuda:0'), diff: 0.5444
image name [4615], angle_normal : tensor([[0.8150]], device='cuda:0'), angle_fog : tensor([[0.0540]], device='cuda:0'), diff: 0.7609
image name [18226], angle_normal : tensor([[0.6894]], device='cuda:0'), angle_fog : tensor([[0.0214]], device='cuda:0'), diff: 0.6680
image name [10158], angle_normal : tensor([[0.1856]], device='cuda:0'), angle_fog : tensor([[2.4410]], device='cuda:0'), diff: 2.2553
image name [18497], angle_normal : tensor([[2.4498]], device='cuda:0'), angle_fog : tensor([[-0.4553]], device='cuda:0'), diff: 2.9052
image name [33649], angle_normal : tensor([[1.3660]], device='cuda:0'), angle_fog : tensor([[0.0982]], device='cuda:0'), diff: 1.2678
image name [27233], angle_normal : tensor([[-0.8349]], device='cuda:0'), angle_fog : tensor([[-0.0677]], device='cuda:0'), diff: 0.7672
image name [31489], angle_normal : tensor([[-0.4515]], device='cuda:0'), angle_fog : tensor([[-1.2180]], device='cuda:0'), diff: 0.7665
image name [17395], angle_normal : tensor([[1.6829]], device='cuda:0'), angle_fog : tensor([[0.6667]], device='cuda:0'), diff: 1.0162
image name [24717], angle_normal : tensor([[1.4875]], device='cuda:0'), angle_fog : tensor([[2.1881]], device='cuda:0'), diff: 0.7006
image name [11584], angle_normal : tensor([[0.4237]], device='cuda:0'), angle_fog : tensor([[1.0818]], device='cuda:0'), diff: 0.6581
image name [39038], angle_normal : tensor([[-0.1619]], device='cuda:0'), angle_fog : tensor([[2.3153]], device='cuda:0'), diff: 2.4771
image name [1179], angle_normal : tensor([[1.2116]], device='cuda:0'), angle_fog : tensor([[-1.3121]], device='cuda:0'), diff: 2.5237
image name [10071], angle_normal : tensor([[0.2367]], device='cuda:0'), angle_fog : tensor([[1.8712]], device='cuda:0'), diff: 1.6345
image name [43152], angle_normal : tensor([[2.1055]], device='cuda:0'), angle_fog : tensor([[0.4174]], device='cuda:0'), diff: 1.6881
image name [36781], angle_normal : tensor([[0.0625]], device='cuda:0'), angle_fog : tensor([[2.9736]], device='cuda:0'), diff: 2.9111
image name [6840], angle_normal : tensor([[0.1120]], device='cuda:0'), angle_fog : tensor([[2.1640]], device='cuda:0'), diff: 2.0520
image name [34275], angle_normal : tensor([[-0.5350]], device='cuda:0'), angle_fog : tensor([[-0.0255]], device='cuda:0'), diff: 0.5095
image name [43628], angle_normal : tensor([[2.4658]], device='cuda:0'), angle_fog : tensor([[2.9853]], device='cuda:0'), diff: 0.5196
image name [32017], angle_normal : tensor([[1.0420]], device='cuda:0'), angle_fog : tensor([[2.9456]], device='cuda:0'), diff: 1.9035
image name [522], angle_normal : tensor([[2.0860]], device='cuda:0'), angle_fog : tensor([[2.8671]], device='cuda:0'), diff: 0.7810
image name [31780], angle_normal : tensor([[0.6101]], device='cuda:0'), angle_fog : tensor([[-0.3283]], device='cuda:0'), diff: 0.9384
image name [39513], angle_normal : tensor([[2.2481]], device='cuda:0'), angle_fog : tensor([[3.0565]], device='cuda:0'), diff: 0.8084
image name [21606], angle_normal : tensor([[0.4106]], device='cuda:0'), angle_fog : tensor([[2.9611]], device='cuda:0'), diff: 2.5504
image name [26564], angle_normal : tensor([[1.4602]], device='cuda:0'), angle_fog : tensor([[-0.3879]], device='cuda:0'), diff: 1.8481
image name [17795], angle_normal : tensor([[0.7018]], device='cuda:0'), angle_fog : tensor([[-0.0835]], device='cuda:0'), diff: 0.7853
image name [36846], angle_normal : tensor([[1.8341]], device='cuda:0'), angle_fog : tensor([[0.0656]], device='cuda:0'), diff: 1.7686
image name [35322], angle_normal : tensor([[0.0904]], device='cuda:0'), angle_fog : tensor([[2.4018]], device='cuda:0'), diff: 2.3114
image name [22946], angle_normal : tensor([[1.8912]], device='cuda:0'), angle_fog : tensor([[0.7857]], device='cuda:0'), diff: 1.1055
image name [13128], angle_normal : tensor([[0.4157]], device='cuda:0'), angle_fog : tensor([[-0.1616]], device='cuda:0'), diff: 0.5772
image name [29761], angle_normal : tensor([[-0.0611]], device='cuda:0'), angle_fog : tensor([[2.9467]], device='cuda:0'), diff: 3.0077
image name [15450], angle_normal : tensor([[1.3048]], device='cuda:0'), angle_fog : tensor([[0.0714]], device='cuda:0'), diff: 1.2334
image name [33313], angle_normal : tensor([[0.5156]], device='cuda:0'), angle_fog : tensor([[2.8126]], device='cuda:0'), diff: 2.2969
image name [42937], angle_normal : tensor([[0.5186]], device='cuda:0'), angle_fog : tensor([[-0.0073]], device='cuda:0'), diff: 0.5259
image name [39016], angle_normal : tensor([[-0.2374]], device='cuda:0'), angle_fog : tensor([[2.7895]], device='cuda:0'), diff: 3.0269
image name [34112], angle_normal : tensor([[0.0907]], device='cuda:0'), angle_fog : tensor([[2.7186]], device='cuda:0'), diff: 2.6279
image name [12004], angle_normal : tensor([[2.8741]], device='cuda:0'), angle_fog : tensor([[2.2360]], device='cuda:0'), diff: 0.6382
image name [40982], angle_normal : tensor([[-1.2422]], device='cuda:0'), angle_fog : tensor([[3.0162]], device='cuda:0'), diff: 4.2584
image name [40809], angle_normal : tensor([[-1.7891]], device='cuda:0'), angle_fog : tensor([[3.0182]], device='cuda:0'), diff: 4.8073
image name [34383], angle_normal : tensor([[-0.4197]], device='cuda:0'), angle_fog : tensor([[2.4486]], device='cuda:0'), diff: 2.8683
image name [40452], angle_normal : tensor([[0.3370]], device='cuda:0'), angle_fog : tensor([[2.8522]], device='cuda:0'), diff: 2.5152
image name [39340], angle_normal : tensor([[0.0029]], device='cuda:0'), angle_fog : tensor([[1.9694]], device='cuda:0'), diff: 1.9665
image name [43822], angle_normal : tensor([[0.3636]], device='cuda:0'), angle_fog : tensor([[-0.5895]], device='cuda:0'), diff: 0.9532
image name [16400], angle_normal : tensor([[2.1505]], device='cuda:0'), angle_fog : tensor([[0.4262]], device='cuda:0'), diff: 1.7243
image name [5696], angle_normal : tensor([[-0.6140]], device='cuda:0'), angle_fog : tensor([[2.9721]], device='cuda:0'), diff: 3.5861
image name [27158], angle_normal : tensor([[-0.7445]], device='cuda:0'), angle_fog : tensor([[-0.1347]], device='cuda:0'), diff: 0.6098
image name [32006], angle_normal : tensor([[0.0268]], device='cuda:0'), angle_fog : tensor([[2.9256]], device='cuda:0'), diff: 2.8988
image name [32125], angle_normal : tensor([[0.0530]], device='cuda:0'), angle_fog : tensor([[1.5820]], device='cuda:0'), diff: 1.5291
image name [20234], angle_normal : tensor([[2.3771]], device='cuda:0'), angle_fog : tensor([[1.6859]], device='cuda:0'), diff: 0.6912
