image name [10006_resized], angle_normal : tensor([[-0.1428]], device='cuda:0'), angle_fog : tensor([[-0.7737]], device='cuda:0'), diff: 0.6309
image name [13852_resized], angle_normal : tensor([[-0.1200]], device='cuda:0'), angle_fog : tensor([[-0.3792]], device='cuda:0'), diff: 0.2593
image name [13863_resized], angle_normal : tensor([[-0.0925]], device='cuda:0'), angle_fog : tensor([[-0.3207]], device='cuda:0'), diff: 0.2282
image name [13874_resized], angle_normal : tensor([[-0.1584]], device='cuda:0'), angle_fog : tensor([[-0.2788]], device='cuda:0'), diff: 0.1204
image name [13885_resized], angle_normal : tensor([[-0.2527]], device='cuda:0'), angle_fog : tensor([[-0.1688]], device='cuda:0'), diff: 0.0839
image name [13896_resized], angle_normal : tensor([[-0.3251]], device='cuda:0'), angle_fog : tensor([[-0.1327]], device='cuda:0'), diff: 0.1924
image name [13906_resized], angle_normal : tensor([[-0.3985]], device='cuda:0'), angle_fog : tensor([[-0.1636]], device='cuda:0'), diff: 0.2349
image name [13917_resized], angle_normal : tensor([[-0.3625]], device='cuda:0'), angle_fog : tensor([[-0.1137]], device='cuda:0'), diff: 0.2489
image name [13928_resized], angle_normal : tensor([[-0.3718]], device='cuda:0'), angle_fog : tensor([[-0.1163]], device='cuda:0'), diff: 0.2555
image name [13939_resized], angle_normal : tensor([[-0.3414]], device='cuda:0'), angle_fog : tensor([[-0.1580]], device='cuda:0'), diff: 0.1834
image name [1395_resized], angle_normal : tensor([[-0.0372]], device='cuda:0'), angle_fog : tensor([[-0.3952]], device='cuda:0'), diff: 0.3580
image name [13960_resized], angle_normal : tensor([[-0.2383]], device='cuda:0'), angle_fog : tensor([[-0.1231]], device='cuda:0'), diff: 0.1152
image name [13971_resized], angle_normal : tensor([[-0.3165]], device='cuda:0'), angle_fog : tensor([[-0.1739]], device='cuda:0'), diff: 0.1426
image name [13982_resized], angle_normal : tensor([[-0.3035]], device='cuda:0'), angle_fog : tensor([[-0.1630]], device='cuda:0'), diff: 0.1406
image name [13993_resized], angle_normal : tensor([[-0.3937]], device='cuda:0'), angle_fog : tensor([[-0.2326]], device='cuda:0'), diff: 0.1611
image name [14002_resized], angle_normal : tensor([[-0.3054]], device='cuda:0'), angle_fog : tensor([[-0.2101]], device='cuda:0'), diff: 0.0953
image name [14013_resized], angle_normal : tensor([[-0.3832]], device='cuda:0'), angle_fog : tensor([[-0.1943]], device='cuda:0'), diff: 0.1889
image name [14024_resized], angle_normal : tensor([[-0.3853]], device='cuda:0'), angle_fog : tensor([[-0.3101]], device='cuda:0'), diff: 0.0752
image name [14035_resized], angle_normal : tensor([[-0.3222]], device='cuda:0'), angle_fog : tensor([[-0.1681]], device='cuda:0'), diff: 0.1541
image name [14046_resized], angle_normal : tensor([[-0.3500]], device='cuda:0'), angle_fog : tensor([[-0.2066]], device='cuda:0'), diff: 0.1434
image name [14057_resized], angle_normal : tensor([[-0.1673]], device='cuda:0'), angle_fog : tensor([[-0.2001]], device='cuda:0'), diff: 0.0328
image name [14068_resized], angle_normal : tensor([[-0.1156]], device='cuda:0'), angle_fog : tensor([[-0.2274]], device='cuda:0'), diff: 0.1119
image name [14079_resized], angle_normal : tensor([[-0.0825]], device='cuda:0'), angle_fog : tensor([[-0.1959]], device='cuda:0'), diff: 0.1134
image name [1409_resized], angle_normal : tensor([[-0.0138]], device='cuda:0'), angle_fog : tensor([[-0.3526]], device='cuda:0'), diff: 0.3388
image name [1410_resized], angle_normal : tensor([[0.0309]], device='cuda:0'), angle_fog : tensor([[-0.3491]], device='cuda:0'), diff: 0.3800
image name [14110_resized], angle_normal : tensor([[-0.0140]], device='cuda:0'), angle_fog : tensor([[-0.1692]], device='cuda:0'), diff: 0.1552
image name [14121_resized], angle_normal : tensor([[-0.0071]], device='cuda:0'), angle_fog : tensor([[-0.1502]], device='cuda:0'), diff: 0.1431
image name [14132_resized], angle_normal : tensor([[-0.0011]], device='cuda:0'), angle_fog : tensor([[-0.1612]], device='cuda:0'), diff: 0.1601
image name [14143_resized], angle_normal : tensor([[-0.0348]], device='cuda:0'), angle_fog : tensor([[-0.1314]], device='cuda:0'), diff: 0.0966
image name [14154_resized], angle_normal : tensor([[-0.1432]], device='cuda:0'), angle_fog : tensor([[-0.0856]], device='cuda:0'), diff: 0.0576
image name [14165_resized], angle_normal : tensor([[-0.2966]], device='cuda:0'), angle_fog : tensor([[-0.0752]], device='cuda:0'), diff: 0.2214
image name [14176_resized], angle_normal : tensor([[-0.3552]], device='cuda:0'), angle_fog : tensor([[-0.0735]], device='cuda:0'), diff: 0.2818
image name [14187_resized], angle_normal : tensor([[-0.3338]], device='cuda:0'), angle_fog : tensor([[-0.0835]], device='cuda:0'), diff: 0.2503
image name [14198_resized], angle_normal : tensor([[-0.4209]], device='cuda:0'), angle_fog : tensor([[-0.1326]], device='cuda:0'), diff: 0.2883
image name [14208_resized], angle_normal : tensor([[-0.4107]], device='cuda:0'), angle_fog : tensor([[-0.1312]], device='cuda:0'), diff: 0.2795
image name [14219_resized], angle_normal : tensor([[-0.3561]], device='cuda:0'), angle_fog : tensor([[-0.1614]], device='cuda:0'), diff: 0.1946
image name [1423_resized], angle_normal : tensor([[0.1620]], device='cuda:0'), angle_fog : tensor([[-0.0468]], device='cuda:0'), diff: 0.2088
image name [14240_resized], angle_normal : tensor([[-0.3409]], device='cuda:0'), angle_fog : tensor([[-0.1981]], device='cuda:0'), diff: 0.1428
image name [14251_resized], angle_normal : tensor([[-0.3594]], device='cuda:0'), angle_fog : tensor([[-0.1768]], device='cuda:0'), diff: 0.1826
image name [14262_resized], angle_normal : tensor([[-0.3582]], device='cuda:0'), angle_fog : tensor([[-0.1757]], device='cuda:0'), diff: 0.1825
image name [14273_resized], angle_normal : tensor([[-0.3788]], device='cuda:0'), angle_fog : tensor([[-0.1800]], device='cuda:0'), diff: 0.1988
image name [14284_resized], angle_normal : tensor([[-0.3412]], device='cuda:0'), angle_fog : tensor([[-0.1686]], device='cuda:0'), diff: 0.1726
image name [14295_resized], angle_normal : tensor([[-0.3334]], device='cuda:0'), angle_fog : tensor([[-0.1988]], device='cuda:0'), diff: 0.1346
image name [14305_resized], angle_normal : tensor([[-0.3864]], device='cuda:0'), angle_fog : tensor([[-0.1985]], device='cuda:0'), diff: 0.1879
image name [14316_resized], angle_normal : tensor([[-0.4077]], device='cuda:0'), angle_fog : tensor([[-0.1869]], device='cuda:0'), diff: 0.2208
image name [14327_resized], angle_normal : tensor([[-0.3506]], device='cuda:0'), angle_fog : tensor([[-0.1700]], device='cuda:0'), diff: 0.1807
image name [14338_resized], angle_normal : tensor([[-0.2682]], device='cuda:0'), angle_fog : tensor([[-0.1331]], device='cuda:0'), diff: 0.1352
image name [14349_resized], angle_normal : tensor([[-0.2335]], device='cuda:0'), angle_fog : tensor([[-0.1634]], device='cuda:0'), diff: 0.0702
image name [1436_resized], angle_normal : tensor([[-0.0116]], device='cuda:0'), angle_fog : tensor([[-0.0217]], device='cuda:0'), diff: 0.0101
image name [14370_resized], angle_normal : tensor([[-0.5151]], device='cuda:0'), angle_fog : tensor([[-0.2132]], device='cuda:0'), diff: 0.3019
image name [14381_resized], angle_normal : tensor([[-0.7272]], device='cuda:0'), angle_fog : tensor([[-0.1940]], device='cuda:0'), diff: 0.5332
image name [14392_resized], angle_normal : tensor([[-0.8581]], device='cuda:0'), angle_fog : tensor([[-0.2019]], device='cuda:0'), diff: 0.6562
image name [14402_resized], angle_normal : tensor([[-0.4541]], device='cuda:0'), angle_fog : tensor([[-0.1772]], device='cuda:0'), diff: 0.2770
image name [14413_resized], angle_normal : tensor([[0.1695]], device='cuda:0'), angle_fog : tensor([[-0.2823]], device='cuda:0'), diff: 0.4518
image name [14424_resized], angle_normal : tensor([[0.2082]], device='cuda:0'), angle_fog : tensor([[-0.3696]], device='cuda:0'), diff: 0.5778
image name [14435_resized], angle_normal : tensor([[0.1718]], device='cuda:0'), angle_fog : tensor([[-0.2730]], device='cuda:0'), diff: 0.4448
image name [14446_resized], angle_normal : tensor([[0.1359]], device='cuda:0'), angle_fog : tensor([[-0.3139]], device='cuda:0'), diff: 0.4499
image name [14457_resized], angle_normal : tensor([[0.1102]], device='cuda:0'), angle_fog : tensor([[-0.3126]], device='cuda:0'), diff: 0.4228
image name [14468_resized], angle_normal : tensor([[0.0565]], device='cuda:0'), angle_fog : tensor([[-0.3220]], device='cuda:0'), diff: 0.3785
image name [14479_resized], angle_normal : tensor([[0.0428]], device='cuda:0'), angle_fog : tensor([[-0.2876]], device='cuda:0'), diff: 0.3304
image name [1449_resized], angle_normal : tensor([[0.1590]], device='cuda:0'), angle_fog : tensor([[-0.0369]], device='cuda:0'), diff: 0.1959
image name [1450_resized], angle_normal : tensor([[-0.1053]], device='cuda:0'), angle_fog : tensor([[-0.0298]], device='cuda:0'), diff: 0.0755
image name [14510_resized], angle_normal : tensor([[-0.0132]], device='cuda:0'), angle_fog : tensor([[-0.1968]], device='cuda:0'), diff: 0.1837
image name [14521_resized], angle_normal : tensor([[-0.0551]], device='cuda:0'), angle_fog : tensor([[-0.2578]], device='cuda:0'), diff: 0.2026
image name [14532_resized], angle_normal : tensor([[-0.0337]], device='cuda:0'), angle_fog : tensor([[-0.2775]], device='cuda:0'), diff: 0.2438
image name [14543_resized], angle_normal : tensor([[-0.0490]], device='cuda:0'), angle_fog : tensor([[-0.2997]], device='cuda:0'), diff: 0.2507
image name [14554_resized], angle_normal : tensor([[-0.0341]], device='cuda:0'), angle_fog : tensor([[-0.3065]], device='cuda:0'), diff: 0.2724
image name [14565_resized], angle_normal : tensor([[0.0167]], device='cuda:0'), angle_fog : tensor([[-0.2788]], device='cuda:0'), diff: 0.2956
image name [14576_resized], angle_normal : tensor([[-0.0027]], device='cuda:0'), angle_fog : tensor([[-0.2821]], device='cuda:0'), diff: 0.2794
image name [14587_resized], angle_normal : tensor([[0.0115]], device='cuda:0'), angle_fog : tensor([[-0.2269]], device='cuda:0'), diff: 0.2384
image name [14598_resized], angle_normal : tensor([[0.0936]], device='cuda:0'), angle_fog : tensor([[-0.2186]], device='cuda:0'), diff: 0.3122
image name [14608_resized], angle_normal : tensor([[0.0095]], device='cuda:0'), angle_fog : tensor([[-0.2649]], device='cuda:0'), diff: 0.2745
image name [14619_resized], angle_normal : tensor([[0.0078]], device='cuda:0'), angle_fog : tensor([[-0.3070]], device='cuda:0'), diff: 0.3148
image name [1463_resized], angle_normal : tensor([[-0.1473]], device='cuda:0'), angle_fog : tensor([[-0.0391]], device='cuda:0'), diff: 0.1083
image name [14640_resized], angle_normal : tensor([[-1.2530]], device='cuda:0'), angle_fog : tensor([[-0.1786]], device='cuda:0'), diff: 1.0744
image name [14651_resized], angle_normal : tensor([[-1.6675]], device='cuda:0'), angle_fog : tensor([[-0.3683]], device='cuda:0'), diff: 1.2992
image name [14673_resized], angle_normal : tensor([[-2.1039]], device='cuda:0'), angle_fog : tensor([[-0.1755]], device='cuda:0'), diff: 1.9284
image name [14684_resized], angle_normal : tensor([[-2.0311]], device='cuda:0'), angle_fog : tensor([[-0.1928]], device='cuda:0'), diff: 1.8383
image name [14695_resized], angle_normal : tensor([[-1.6464]], device='cuda:0'), angle_fog : tensor([[-0.1602]], device='cuda:0'), diff: 1.4862
image name [14705_resized], angle_normal : tensor([[-1.5867]], device='cuda:0'), angle_fog : tensor([[-0.3395]], device='cuda:0'), diff: 1.2472
image name [14716_resized], angle_normal : tensor([[-1.1186]], device='cuda:0'), angle_fog : tensor([[-0.1422]], device='cuda:0'), diff: 0.9764
image name [14727_resized], angle_normal : tensor([[-0.7991]], device='cuda:0'), angle_fog : tensor([[-0.1242]], device='cuda:0'), diff: 0.6749
image name [14738_resized], angle_normal : tensor([[-0.9775]], device='cuda:0'), angle_fog : tensor([[-0.2231]], device='cuda:0'), diff: 0.7544
image name [14749_resized], angle_normal : tensor([[-0.5407]], device='cuda:0'), angle_fog : tensor([[-0.0528]], device='cuda:0'), diff: 0.4879
image name [1476_resized], angle_normal : tensor([[0.0302]], device='cuda:0'), angle_fog : tensor([[-0.3409]], device='cuda:0'), diff: 0.3710
image name [14770_resized], angle_normal : tensor([[-0.2774]], device='cuda:0'), angle_fog : tensor([[-0.5678]], device='cuda:0'), diff: 0.2903
image name [14781_resized], angle_normal : tensor([[-0.2189]], device='cuda:0'), angle_fog : tensor([[-0.5370]], device='cuda:0'), diff: 0.3181
image name [14792_resized], angle_normal : tensor([[-0.1984]], device='cuda:0'), angle_fog : tensor([[-0.3766]], device='cuda:0'), diff: 0.1783
image name [14802_resized], angle_normal : tensor([[-0.1125]], device='cuda:0'), angle_fog : tensor([[-0.5255]], device='cuda:0'), diff: 0.4130
image name [14813_resized], angle_normal : tensor([[0.1177]], device='cuda:0'), angle_fog : tensor([[-0.3496]], device='cuda:0'), diff: 0.4673
image name [14824_resized], angle_normal : tensor([[0.1948]], device='cuda:0'), angle_fog : tensor([[-0.2842]], device='cuda:0'), diff: 0.4790
image name [14835_resized], angle_normal : tensor([[0.2532]], device='cuda:0'), angle_fog : tensor([[-0.3492]], device='cuda:0'), diff: 0.6025
image name [14846_resized], angle_normal : tensor([[0.2586]], device='cuda:0'), angle_fog : tensor([[-0.5701]], device='cuda:0'), diff: 0.8288
image name [14857_resized], angle_normal : tensor([[0.2695]], device='cuda:0'), angle_fog : tensor([[-0.3112]], device='cuda:0'), diff: 0.5807
image name [14879_resized], angle_normal : tensor([[0.2572]], device='cuda:0'), angle_fog : tensor([[-0.2175]], device='cuda:0'), diff: 0.4747
image name [1489_resized], angle_normal : tensor([[0.0058]], device='cuda:0'), angle_fog : tensor([[-0.5793]], device='cuda:0'), diff: 0.5850
image name [1490_resized], angle_normal : tensor([[-0.0096]], device='cuda:0'), angle_fog : tensor([[-0.5428]], device='cuda:0'), diff: 0.5332
image name [14910_resized], angle_normal : tensor([[0.2849]], device='cuda:0'), angle_fog : tensor([[-0.2185]], device='cuda:0'), diff: 0.5034
image name [14921_resized], angle_normal : tensor([[0.1617]], device='cuda:0'), angle_fog : tensor([[-0.3212]], device='cuda:0'), diff: 0.4829
image name [14932_resized], angle_normal : tensor([[0.2166]], device='cuda:0'), angle_fog : tensor([[-0.2655]], device='cuda:0'), diff: 0.4821
image name [14943_resized], angle_normal : tensor([[0.2055]], device='cuda:0'), angle_fog : tensor([[-0.0859]], device='cuda:0'), diff: 0.2914
image name [14954_resized], angle_normal : tensor([[0.2446]], device='cuda:0'), angle_fog : tensor([[-0.2553]], device='cuda:0'), diff: 0.4999
image name [14965_resized], angle_normal : tensor([[0.2084]], device='cuda:0'), angle_fog : tensor([[-0.1162]], device='cuda:0'), diff: 0.3245
image name [14976_resized], angle_normal : tensor([[0.1985]], device='cuda:0'), angle_fog : tensor([[-0.2105]], device='cuda:0'), diff: 0.4090
image name [14987_resized], angle_normal : tensor([[0.2624]], device='cuda:0'), angle_fog : tensor([[-0.2082]], device='cuda:0'), diff: 0.4706
image name [14998_resized], angle_normal : tensor([[0.2175]], device='cuda:0'), angle_fog : tensor([[-0.3121]], device='cuda:0'), diff: 0.5296
image name [15007_resized], angle_normal : tensor([[0.2372]], device='cuda:0'), angle_fog : tensor([[-0.2161]], device='cuda:0'), diff: 0.4533
image name [15018_resized], angle_normal : tensor([[0.2356]], device='cuda:0'), angle_fog : tensor([[-0.1855]], device='cuda:0'), diff: 0.4211
image name [15029_resized], angle_normal : tensor([[0.2094]], device='cuda:0'), angle_fog : tensor([[-0.1606]], device='cuda:0'), diff: 0.3700
image name [1504_resized], angle_normal : tensor([[-0.0911]], device='cuda:0'), angle_fog : tensor([[-0.8145]], device='cuda:0'), diff: 0.7234
image name [15050_resized], angle_normal : tensor([[0.1658]], device='cuda:0'), angle_fog : tensor([[-0.1771]], device='cuda:0'), diff: 0.3428
image name [15061_resized], angle_normal : tensor([[0.1897]], device='cuda:0'), angle_fog : tensor([[-0.2344]], device='cuda:0'), diff: 0.4241
image name [15072_resized], angle_normal : tensor([[0.2241]], device='cuda:0'), angle_fog : tensor([[-0.1874]], device='cuda:0'), diff: 0.4115
image name [15083_resized], angle_normal : tensor([[0.2061]], device='cuda:0'), angle_fog : tensor([[-0.2266]], device='cuda:0'), diff: 0.4327
image name [15094_resized], angle_normal : tensor([[0.2144]], device='cuda:0'), angle_fog : tensor([[-0.2305]], device='cuda:0'), diff: 0.4448
image name [15104_resized], angle_normal : tensor([[0.2094]], device='cuda:0'), angle_fog : tensor([[-0.2409]], device='cuda:0'), diff: 0.4503
image name [15115_resized], angle_normal : tensor([[0.2134]], device='cuda:0'), angle_fog : tensor([[-0.2191]], device='cuda:0'), diff: 0.4325
image name [15126_resized], angle_normal : tensor([[0.2156]], device='cuda:0'), angle_fog : tensor([[-0.3018]], device='cuda:0'), diff: 0.5174
image name [15137_resized], angle_normal : tensor([[0.1496]], device='cuda:0'), angle_fog : tensor([[-0.2990]], device='cuda:0'), diff: 0.4486
image name [15148_resized], angle_normal : tensor([[0.1771]], device='cuda:0'), angle_fog : tensor([[-0.2811]], device='cuda:0'), diff: 0.4583
image name [15159_resized], angle_normal : tensor([[0.0741]], device='cuda:0'), angle_fog : tensor([[-0.3313]], device='cuda:0'), diff: 0.4054
image name [1517_resized], angle_normal : tensor([[-0.0355]], device='cuda:0'), angle_fog : tensor([[-0.8203]], device='cuda:0'), diff: 0.7848
image name [15180_resized], angle_normal : tensor([[0.0448]], device='cuda:0'), angle_fog : tensor([[-0.2928]], device='cuda:0'), diff: 0.3376
image name [15191_resized], angle_normal : tensor([[0.0426]], device='cuda:0'), angle_fog : tensor([[-0.2523]], device='cuda:0'), diff: 0.2949
image name [15201_resized], angle_normal : tensor([[0.0283]], device='cuda:0'), angle_fog : tensor([[-0.2110]], device='cuda:0'), diff: 0.2393
image name [15212_resized], angle_normal : tensor([[0.0346]], device='cuda:0'), angle_fog : tensor([[-0.2520]], device='cuda:0'), diff: 0.2866
image name [15223_resized], angle_normal : tensor([[0.0480]], device='cuda:0'), angle_fog : tensor([[-0.2588]], device='cuda:0'), diff: 0.3068
image name [15234_resized], angle_normal : tensor([[0.0294]], device='cuda:0'), angle_fog : tensor([[-0.2628]], device='cuda:0'), diff: 0.2922
image name [15245_resized], angle_normal : tensor([[0.0208]], device='cuda:0'), angle_fog : tensor([[-0.2466]], device='cuda:0'), diff: 0.2674
image name [15256_resized], angle_normal : tensor([[0.0107]], device='cuda:0'), angle_fog : tensor([[-0.2381]], device='cuda:0'), diff: 0.2488
image name [15267_resized], angle_normal : tensor([[0.0016]], device='cuda:0'), angle_fog : tensor([[-0.2242]], device='cuda:0'), diff: 0.2258
image name [15289_resized], angle_normal : tensor([[-0.0076]], device='cuda:0'), angle_fog : tensor([[-0.2453]], device='cuda:0'), diff: 0.2377
image name [1531_resized], angle_normal : tensor([[-0.0289]], device='cuda:0'), angle_fog : tensor([[-0.0419]], device='cuda:0'), diff: 0.0129
image name [15320_resized], angle_normal : tensor([[0.0035]], device='cuda:0'), angle_fog : tensor([[-0.0917]], device='cuda:0'), diff: 0.0952
image name [15331_resized], angle_normal : tensor([[-0.0049]], device='cuda:0'), angle_fog : tensor([[-0.0850]], device='cuda:0'), diff: 0.0801
image name [15342_resized], angle_normal : tensor([[-0.0148]], device='cuda:0'), angle_fog : tensor([[-0.2295]], device='cuda:0'), diff: 0.2147
image name [15353_resized], angle_normal : tensor([[-0.0384]], device='cuda:0'), angle_fog : tensor([[-0.2671]], device='cuda:0'), diff: 0.2287
image name [15364_resized], angle_normal : tensor([[-0.0964]], device='cuda:0'), angle_fog : tensor([[-0.0623]], device='cuda:0'), diff: 0.0341
image name [15375_resized], angle_normal : tensor([[-0.1194]], device='cuda:0'), angle_fog : tensor([[-0.0438]], device='cuda:0'), diff: 0.0756
image name [15386_resized], angle_normal : tensor([[-0.2074]], device='cuda:0'), angle_fog : tensor([[-0.0485]], device='cuda:0'), diff: 0.1589
image name [15397_resized], angle_normal : tensor([[-0.2818]], device='cuda:0'), angle_fog : tensor([[-0.0734]], device='cuda:0'), diff: 0.2084
image name [15407_resized], angle_normal : tensor([[-0.2664]], device='cuda:0'), angle_fog : tensor([[-0.1107]], device='cuda:0'), diff: 0.1557
image name [15418_resized], angle_normal : tensor([[-0.3022]], device='cuda:0'), angle_fog : tensor([[-0.1645]], device='cuda:0'), diff: 0.1377
image name [15429_resized], angle_normal : tensor([[-0.2515]], device='cuda:0'), angle_fog : tensor([[-0.1786]], device='cuda:0'), diff: 0.0728
image name [1544_resized], angle_normal : tensor([[-0.0086]], device='cuda:0'), angle_fog : tensor([[-0.2233]], device='cuda:0'), diff: 0.2148
image name [15450_resized], angle_normal : tensor([[-0.3121]], device='cuda:0'), angle_fog : tensor([[-0.1607]], device='cuda:0'), diff: 0.1514
image name [15461_resized], angle_normal : tensor([[-0.3021]], device='cuda:0'), angle_fog : tensor([[-0.0764]], device='cuda:0'), diff: 0.2258
image name [15472_resized], angle_normal : tensor([[-0.3339]], device='cuda:0'), angle_fog : tensor([[-0.0005]], device='cuda:0'), diff: 0.3334
image name [15483_resized], angle_normal : tensor([[-0.2915]], device='cuda:0'), angle_fog : tensor([[0.0536]], device='cuda:0'), diff: 0.3451
image name [15494_resized], angle_normal : tensor([[-0.1883]], device='cuda:0'), angle_fog : tensor([[0.2395]], device='cuda:0'), diff: 0.4279
image name [15504_resized], angle_normal : tensor([[-0.2271]], device='cuda:0'), angle_fog : tensor([[0.1627]], device='cuda:0'), diff: 0.3898
image name [15515_resized], angle_normal : tensor([[-0.2356]], device='cuda:0'), angle_fog : tensor([[0.2038]], device='cuda:0'), diff: 0.4394
image name [15526_resized], angle_normal : tensor([[-0.2219]], device='cuda:0'), angle_fog : tensor([[0.3867]], device='cuda:0'), diff: 0.6086
image name [15537_resized], angle_normal : tensor([[-0.2247]], device='cuda:0'), angle_fog : tensor([[0.1462]], device='cuda:0'), diff: 0.3710
image name [15548_resized], angle_normal : tensor([[-0.2515]], device='cuda:0'), angle_fog : tensor([[0.3130]], device='cuda:0'), diff: 0.5645
image name [15559_resized], angle_normal : tensor([[-0.2804]], device='cuda:0'), angle_fog : tensor([[0.2366]], device='cuda:0'), diff: 0.5169
image name [1557_resized], angle_normal : tensor([[0.0011]], device='cuda:0'), angle_fog : tensor([[-0.1140]], device='cuda:0'), diff: 0.1152
image name [15580_resized], angle_normal : tensor([[-0.2804]], device='cuda:0'), angle_fog : tensor([[0.5112]], device='cuda:0'), diff: 0.7916
image name [15591_resized], angle_normal : tensor([[-0.3175]], device='cuda:0'), angle_fog : tensor([[-0.1473]], device='cuda:0'), diff: 0.1702
image name [15601_resized], angle_normal : tensor([[-0.2981]], device='cuda:0'), angle_fog : tensor([[-0.1888]], device='cuda:0'), diff: 0.1093
image name [15612_resized], angle_normal : tensor([[-0.2770]], device='cuda:0'), angle_fog : tensor([[-0.1428]], device='cuda:0'), diff: 0.1342
image name [15623_resized], angle_normal : tensor([[-0.2663]], device='cuda:0'), angle_fog : tensor([[-0.0483]], device='cuda:0'), diff: 0.2180
image name [15634_resized], angle_normal : tensor([[-0.1997]], device='cuda:0'), angle_fog : tensor([[-0.3521]], device='cuda:0'), diff: 0.1523
image name [15645_resized], angle_normal : tensor([[-0.2596]], device='cuda:0'), angle_fog : tensor([[-0.3657]], device='cuda:0'), diff: 0.1060
image name [15656_resized], angle_normal : tensor([[-0.2209]], device='cuda:0'), angle_fog : tensor([[-0.0696]], device='cuda:0'), diff: 0.1513
image name [15667_resized], angle_normal : tensor([[-0.1937]], device='cuda:0'), angle_fog : tensor([[-0.2170]], device='cuda:0'), diff: 0.0233
image name [15678_resized], angle_normal : tensor([[-0.2333]], device='cuda:0'), angle_fog : tensor([[-0.0621]], device='cuda:0'), diff: 0.1711
image name [15689_resized], angle_normal : tensor([[-0.2559]], device='cuda:0'), angle_fog : tensor([[-0.1817]], device='cuda:0'), diff: 0.0742
image name [1571_resized], angle_normal : tensor([[0.0220]], device='cuda:0'), angle_fog : tensor([[-0.0650]], device='cuda:0'), diff: 0.0870
image name [15720_resized], angle_normal : tensor([[-0.3058]], device='cuda:0'), angle_fog : tensor([[-0.1220]], device='cuda:0'), diff: 0.1837
image name [15731_resized], angle_normal : tensor([[-0.3838]], device='cuda:0'), angle_fog : tensor([[-0.0054]], device='cuda:0'), diff: 0.3783
image name [15742_resized], angle_normal : tensor([[-0.2802]], device='cuda:0'), angle_fog : tensor([[-0.1530]], device='cuda:0'), diff: 0.1271
image name [15753_resized], angle_normal : tensor([[-0.2990]], device='cuda:0'), angle_fog : tensor([[-0.1553]], device='cuda:0'), diff: 0.1437
image name [15764_resized], angle_normal : tensor([[-0.3471]], device='cuda:0'), angle_fog : tensor([[-0.1307]], device='cuda:0'), diff: 0.2164
image name [15775_resized], angle_normal : tensor([[-0.3152]], device='cuda:0'), angle_fog : tensor([[-0.1146]], device='cuda:0'), diff: 0.2006
image name [15786_resized], angle_normal : tensor([[-0.2787]], device='cuda:0'), angle_fog : tensor([[-0.1196]], device='cuda:0'), diff: 0.1590
image name [15797_resized], angle_normal : tensor([[-0.2955]], device='cuda:0'), angle_fog : tensor([[-0.1059]], device='cuda:0'), diff: 0.1897
image name [15807_resized], angle_normal : tensor([[-0.3025]], device='cuda:0'), angle_fog : tensor([[-0.1811]], device='cuda:0'), diff: 0.1214
image name [15818_resized], angle_normal : tensor([[-0.2774]], device='cuda:0'), angle_fog : tensor([[0.0127]], device='cuda:0'), diff: 0.2901
image name [1584_resized], angle_normal : tensor([[-0.0387]], device='cuda:0'), angle_fog : tensor([[-0.0560]], device='cuda:0'), diff: 0.0173
image name [15850_resized], angle_normal : tensor([[-0.2115]], device='cuda:0'), angle_fog : tensor([[-0.1174]], device='cuda:0'), diff: 0.0942
image name [15861_resized], angle_normal : tensor([[-0.1855]], device='cuda:0'), angle_fog : tensor([[-0.1301]], device='cuda:0'), diff: 0.0554
image name [15872_resized], angle_normal : tensor([[-0.1715]], device='cuda:0'), angle_fog : tensor([[-0.1226]], device='cuda:0'), diff: 0.0489
image name [15883_resized], angle_normal : tensor([[-0.0885]], device='cuda:0'), angle_fog : tensor([[-0.1162]], device='cuda:0'), diff: 0.0277
image name [15894_resized], angle_normal : tensor([[-0.1076]], device='cuda:0'), angle_fog : tensor([[-0.1085]], device='cuda:0'), diff: 0.0008
image name [15904_resized], angle_normal : tensor([[-0.1481]], device='cuda:0'), angle_fog : tensor([[-0.0670]], device='cuda:0'), diff: 0.0812
image name [15915_resized], angle_normal : tensor([[-0.1468]], device='cuda:0'), angle_fog : tensor([[-0.0882]], device='cuda:0'), diff: 0.0586
image name [15926_resized], angle_normal : tensor([[-0.1828]], device='cuda:0'), angle_fog : tensor([[-0.0840]], device='cuda:0'), diff: 0.0989
image name [15937_resized], angle_normal : tensor([[-0.1676]], device='cuda:0'), angle_fog : tensor([[-0.0952]], device='cuda:0'), diff: 0.0724
image name [15948_resized], angle_normal : tensor([[-0.1886]], device='cuda:0'), angle_fog : tensor([[-0.1578]], device='cuda:0'), diff: 0.0308
image name [15959_resized], angle_normal : tensor([[-0.1995]], device='cuda:0'), angle_fog : tensor([[-0.1119]], device='cuda:0'), diff: 0.0876
image name [1597_resized], angle_normal : tensor([[-0.0273]], device='cuda:0'), angle_fog : tensor([[-0.0446]], device='cuda:0'), diff: 0.0173
image name [15980_resized], angle_normal : tensor([[-0.1970]], device='cuda:0'), angle_fog : tensor([[-0.0744]], device='cuda:0'), diff: 0.1226
image name [15991_resized], angle_normal : tensor([[-0.1932]], device='cuda:0'), angle_fog : tensor([[-0.0533]], device='cuda:0'), diff: 0.1399
image name [16000_resized], angle_normal : tensor([[-0.1747]], device='cuda:0'), angle_fog : tensor([[-0.0542]], device='cuda:0'), diff: 0.1205
